query;position;label1;label2
6;6;RELEVANT;RELEVANT
6;7;SOMEWHAT_RELEVANT;IRRELEVANT
6;8;IRRELEVANT;RELEVANT
6;9;RELEVANT;RELEVANT
6;10;IRRELEVANT;SOMEWHAT_RELEVANT
7;1;IRRELEVANT;IRRELEVANT
7;2;IRRELEVANT;SOMEWHAT_RELEVANT
7;3;RELEVANT;RELEVANT
7;4;RELEVANT;SOMEWHAT_RELEVANT
7;5;RELEVANT;RELEVANT
7;6;RELEVANT;SOMEWHAT_RELEVANT
7;7;IRRELEVANT;RELEVANT
7;8;RELEVANT;RELEVANT
7;9;IRRELEVANT;RELEVANT
7;10;RELEVANT;SOMEWHAT_RELEVANT
8;1;RELEVANT;IRRELEVANT
8;2;IRRELEVANT;RELEVANT
8;3;RELEVANT;RELEVANT
8;4;IRRELEVANT;RELEVANT
8;5;SOMEWHAT_RELEVANT;RELEVANT
8;6;IRRELEVANT;SOMEWHAT_RELEVANT
8;7;RELEVANT;RELEVANT
8;8;IRRELEVANT;IRRELEVANT
8;9;IRRELEVANT;IRRELEVANT
8;10;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
9;1;RELEVANT;SOMEWHAT_RELEVANT
9;2;IRRELEVANT;IRRELEVANT
9;3;IRRELEVANT;IRRELEVANT
9;4;SOMEWHAT_RELEVANT;RELEVANT
9;5;IRRELEVANT;IRRELEVANT
9;6;SOMEWHAT_RELEVANT;RELEVANT
9;7;RELEVANT;IRRELEVANT
9;8;RELEVANT;SOMEWHAT_RELEVANT
9;9;RELEVANT;IRRELEVANT
9;10;IRRELEVANT;SOMEWHAT_RELEVANT
10;1;SOMEWHAT_RELEVANT;RELEVANT
10;2;IRRELEVANT;SOMEWHAT_RELEVANT
10;3;SOMEWHAT_RELEVANT;RELEVANT
10;4;RELEVANT;SOMEWHAT_RELEVANT
10;5;SOMEWHAT_RELEVANT;RELEVANT
10;6;SOMEWHAT_RELEVANT;RELEVANT
10;7;RELEVANT;SOMEWHAT_RELEVANT
10;8;RELEVANT;RELEVANT
10;9;SOMEWHAT_RELEVANT;RELEVANT
10;10;IRRELEVANT;IRRELEVANT
11;1;IRRELEVANT;IRRELEVANT
11;2;SOMEWHAT_RELEVANT;IRRELEVANT
11;3;IRRELEVANT;SOMEWHAT_RELEVANT
11;4;RELEVANT;RELEVANT
11;5;RELEVANT;RELEVANT
11;6;RELEVANT;SOMEWHAT_RELEVANT
11;7;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
11;8;SOMEWHAT_RELEVANT;RELEVANT
11;9;SOMEWHAT_RELEVANT;RELEVANT
11;10;SOMEWHAT_RELEVANT;IRRELEVANT
12;1;RELEVANT;RELEVANT
12;2;IRRELEVANT;IRRELEVANT
12;3;RELEVANT;SOMEWHAT_RELEVANT
12;4;RELEVANT;RELEVANT
12;5;RELEVANT;RELEVANT
12;6;RELEVANT;SOMEWHAT_RELEVANT
12;7;IRRELEVANT;IRRELEVANT
12;8;RELEVANT;RELEVANT
12;9;RELEVANT;IRRELEVANT
12;10;IRRELEVANT;RELEVANT
13;1;RELEVANT;RELEVANT
13;2;RELEVANT;SOMEWHAT_RELEVANT
13;3;RELEVANT;RELEVANT
13;4;RELEVANT;SOMEWHAT_RELEVANT
13;5;RELEVANT;IRRELEVANT
13;6;RELEVANT;SOMEWHAT_RELEVANT
13;7;SOMEWHAT_RELEVANT;RELEVANT
13;8;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
13;9;RELEVANT;IRRELEVANT
13;10;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
14;1;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
14;2;RELEVANT;SOMEWHAT_RELEVANT
14;3;IRRELEVANT;SOMEWHAT_RELEVANT
14;4;SOMEWHAT_RELEVANT;RELEVANT
14;5;IRRELEVANT;SOMEWHAT_RELEVANT
14;6;RELEVANT;RELEVANT
14;7;RELEVANT;RELEVANT
14;8;SOMEWHAT_RELEVANT;IRRELEVANT
14;9;IRRELEVANT;SOMEWHAT_RELEVANT
14;10;RELEVANT;RELEVANT
15;1;RELEVANT;RELEVANT
15;2;SOMEWHAT_RELEVANT;RELEVANT
15;3;SOMEWHAT_RELEVANT;RELEVANT
15;4;IRRELEVANT;SOMEWHAT_RELEVANT
15;5;IRRELEVANT;RELEVANT
15;6;RELEVANT;SOMEWHAT_RELEVANT
15;7;IRRELEVANT;IRRELEVANT
15;8;SOMEWHAT_RELEVANT;RELEVANT
15;9;SOMEWHAT_RELEVANT;IRRELEVANT
15;10;SOMEWHAT_RELEVANT;RELEVANT
16;1;RELEVANT;IRRELEVANT
16;2;SOMEWHAT_RELEVANT;RELEVANT
16;3;SOMEWHAT_RELEVANT;RELEVANT
16;4;RELEVANT;RELEVANT
16;5;IRRELEVANT;RELEVANT
16;6;IRRELEVANT;RELEVANT
16;7;RELEVANT;RELEVANT
16;8;RELEVANT;RELEVANT
16;9;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
16;10;IRRELEVANT;SOMEWHAT_RELEVANT
17;1;IRRELEVANT;SOMEWHAT_RELEVANT
17;2;SOMEWHAT_RELEVANT;RELEVANT
17;3;IRRELEVANT;RELEVANT
17;4;IRRELEVANT;RELEVANT
17;5;RELEVANT;RELEVANT
17;6;RELEVANT;RELEVANT
17;7;SOMEWHAT_RELEVANT;IRRELEVANT
17;8;RELEVANT;RELEVANT
17;9;IRRELEVANT;RELEVANT
17;10;IRRELEVANT;SOMEWHAT_RELEVANT
18;1;IRRELEVANT;IRRELEVANT
18;2;IRRELEVANT;RELEVANT
18;3;IRRELEVANT;RELEVANT
18;4;RELEVANT;IRRELEVANT
18;5;RELEVANT;RELEVANT
18;6;IRRELEVANT;IRRELEVANT
18;7;SOMEWHAT_RELEVANT;RELEVANT
18;8;RELEVANT;SOMEWHAT_RELEVANT
18;9;IRRELEVANT;IRRELEVANT
18;10;IRRELEVANT;RELEVANT
19;1;SOMEWHAT_RELEVANT;RELEVANT
19;2;RELEVANT;RELEVANT
19;3;IRRELEVANT;SOMEWHAT_RELEVANT
19;4;RELEVANT;IRRELEVANT
19;5;IRRELEVANT;RELEVANT
19;6;IRRELEVANT;RELEVANT
19;7;RELEVANT;RELEVANT
19;8;SOMEWHAT_RELEVANT;RELEVANT
19;9;IRRELEVANT;SOMEWHAT_RELEVANT
19;10;SOMEWHAT_RELEVANT;RELEVANT
20;1;SOMEWHAT_RELEVANT;RELEVANT
20;2;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
20;3;RELEVANT;RELEVANT
20;4;RELEVANT;SOMEWHAT_RELEVANT
20;5;IRRELEVANT;SOMEWHAT_RELEVANT
20;6;IRRELEVANT;RELEVANT
20;7;RELEVANT;RELEVANT
20;8;IRRELEVANT;IRRELEVANT
20;9;SOMEWHAT_RELEVANT;IRRELEVANT
20;10;RELEVANT;RELEVANT
21;1;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
21;2;RELEVANT;RELEVANT
21;3;SOMEWHAT_RELEVANT;IRRELEVANT
21;4;RELEVANT;RELEVANT
21;5;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
21;6;RELEVANT;IRRELEVANT
21;7;IRRELEVANT;SOMEWHAT_RELEVANT
21;8;RELEVANT;IRRELEVANT
21;9;IRRELEVANT;SOMEWHAT_RELEVANT
21;10;IRRELEVANT;RELEVANT
22;1;SOMEWHAT_RELEVANT;IRRELEVANT
22;2;IRRELEVANT;SOMEWHAT_RELEVANT
22;3;IRRELEVANT;SOMEWHAT_RELEVANT
22;4;RELEVANT;IRRELEVANT
22;5;RELEVANT;IRRELEVANT
22;6;SOMEWHAT_RELEVANT;RELEVANT
22;7;IRRELEVANT;RELEVANT
22;8;SOMEWHAT_RELEVANT;RELEVANT
22;9;RELEVANT;SOMEWHAT_RELEVANT
22;10;IRRELEVANT;SOMEWHAT_RELEVANT
23;1;IRRELEVANT;RELEVANT
23;2;RELEVANT;RELEVANT
23;3;IRRELEVANT;RELEVANT
23;4;SOMEWHAT_RELEVANT;RELEVANT
23;5;SOMEWHAT_RELEVANT;RELEVANT
23;6;SOMEWHAT_RELEVANT;IRRELEVANT
23;7;IRRELEVANT;RELEVANT
23;8;IRRELEVANT;SOMEWHAT_RELEVANT
23;9;RELEVANT;IRRELEVANT
23;10;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
24;1;RELEVANT;RELEVANT
24;2;RELEVANT;IRRELEVANT
24;3;RELEVANT;SOMEWHAT_RELEVANT
24;4;SOMEWHAT_RELEVANT;RELEVANT
24;5;SOMEWHAT_RELEVANT;RELEVANT
24;6;RELEVANT;IRRELEVANT
24;7;RELEVANT;IRRELEVANT
24;8;RELEVANT;RELEVANT
24;9;RELEVANT;RELEVANT
24;10;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
25;1;RELEVANT;IRRELEVANT
25;2;RELEVANT;SOMEWHAT_RELEVANT
25;3;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
25;4;RELEVANT;RELEVANT
25;5;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
25;6;RELEVANT;SOMEWHAT_RELEVANT
25;7;RELEVANT;SOMEWHAT_RELEVANT
25;8;RELEVANT;RELEVANT
25;9;IRRELEVANT;IRRELEVANT
25;10;RELEVANT;SOMEWHAT_RELEVANT
26;1;IRRELEVANT;SOMEWHAT_RELEVANT
26;2;SOMEWHAT_RELEVANT;RELEVANT
26;3;RELEVANT;IRRELEVANT
26;4;RELEVANT;RELEVANT
26;5;IRRELEVANT;RELEVANT
26;6;SOMEWHAT_RELEVANT;RELEVANT
26;7;RELEVANT;RELEVANT
26;8;RELEVANT;RELEVANT
26;9;RELEVANT;RELEVANT
26;10;RELEVANT;IRRELEVANT
27;1;IRRELEVANT;IRRELEVANT
27;2;RELEVANT;SOMEWHAT_RELEVANT
27;3;IRRELEVANT;IRRELEVANT
27;4;RELEVANT;RELEVANT
27;5;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
27;6;SOMEWHAT_RELEVANT;IRRELEVANT
27;7;IRRELEVANT;RELEVANT
27;8;RELEVANT;SOMEWHAT_RELEVANT
27;9;RELEVANT;RELEVANT
27;10;IRRELEVANT;IRRELEVANT
28;1;RELEVANT;RELEVANT
28;2;RELEVANT;RELEVANT
28;3;RELEVANT;RELEVANT
28;4;SOMEWHAT_RELEVANT;RELEVANT
28;5;IRRELEVANT;IRRELEVANT
28;6;RELEVANT;RELEVANT
28;7;SOMEWHAT_RELEVANT;IRRELEVANT
28;8;IRRELEVANT;RELEVANT
28;9;IRRELEVANT;IRRELEVANT
28;10;SOMEWHAT_RELEVANT;RELEVANT
29;1;RELEVANT;RELEVANT
29;2;IRRELEVANT;RELEVANT
29;3;RELEVANT;SOMEWHAT_RELEVANT
29;4;SOMEWHAT_RELEVANT;RELEVANT
29;5;RELEVANT;RELEVANT
29;6;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
29;7;IRRELEVANT;RELEVANT
29;8;IRRELEVANT;RELEVANT
29;9;IRRELEVANT;RELEVANT
29;10;RELEVANT;RELEVANT
30;1;IRRELEVANT;IRRELEVANT
30;2;RELEVANT;RELEVANT
30;3;SOMEWHAT_RELEVANT;RELEVANT
30;4;RELEVANT;SOMEWHAT_RELEVANT
30;5;SOMEWHAT_RELEVANT;RELEVANT
30;6;IRRELEVANT;IRRELEVANT
30;7;IRRELEVANT;RELEVANT
30;8;RELEVANT;RELEVANT
30;9;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
30;10;SOMEWHAT_RELEVANT;RELEVANT
31;1;IRRELEVANT;SOMEWHAT_RELEVANT
31;2;RELEVANT;IRRELEVANT
31;3;RELEVANT;SOMEWHAT_RELEVANT
31;4;RELEVANT;RELEVANT
31;5;RELEVANT;RELEVANT
31;6;SOMEWHAT_RELEVANT;IRRELEVANT
31;7;SOMEWHAT_RELEVANT;RELEVANT
31;8;SOMEWHAT_RELEVANT;RELEVANT
31;9;SOMEWHAT_RELEVANT;IRRELEVANT
31;10;RELEVANT;SOMEWHAT_RELEVANT
32;1;IRRELEVANT;SOMEWHAT_RELEVANT
32;2;RELEVANT;RELEVANT
32;3;IRRELEVANT;RELEVANT
32;4;RELEVANT;RELEVANT
32;5;SOMEWHAT_RELEVANT;RELEVANT
32;6;SOMEWHAT_RELEVANT;RELEVANT
32;7;RELEVANT;RELEVANT
32;8;IRRELEVANT;SOMEWHAT_RELEVANT
32;9;RELEVANT;RELEVANT
32;10;RELEVANT;RELEVANT
33;1;RELEVANT;RELEVANT
33;2;IRRELEVANT;IRRELEVANT
33;3;RELEVANT;IRRELEVANT
33;4;RELEVANT;RELEVANT
33;5;IRRELEVANT;RELEVANT
33;6;SOMEWHAT_RELEVANT;RELEVANT
33;7;IRRELEVANT;SOMEWHAT_RELEVANT
33;8;RELEVANT;RELEVANT
33;9;SOMEWHAT_RELEVANT;RELEVANT
33;10;IRRELEVANT;SOMEWHAT_RELEVANT
34;1;IRRELEVANT;IRRELEVANT
34;2;SOMEWHAT_RELEVANT;RELEVANT
34;3;RELEVANT;RELEVANT
34;4;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
34;5;SOMEWHAT_RELEVANT;RELEVANT
34;6;IRRELEVANT;SOMEWHAT_RELEVANT
34;7;RELEVANT;IRRELEVANT
34;8;RELEVANT;RELEVANT
34;9;SOMEWHAT_RELEVANT;IRRELEVANT
34;10;RELEVANT;SOMEWHAT_RELEVANT
35;1;RELEVANT;RELEVANT
35;2;RELEVANT;IRRELEVANT
35;3;SOMEWHAT_RELEVANT;RELEVANT
35;4;SOMEWHAT_RELEVANT;RELEVANT
35;5;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
35;6;RELEVANT;RELEVANT
35;7;RELEVANT;RELEVANT
35;8;RELEVANT;RELEVANT
35;9;SOMEWHAT_RELEVANT;RELEVANT
35;10;RELEVANT;RELEVANT
36;1;SOMEWHAT_RELEVANT;RELEVANT
36;2;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
36;3;RELEVANT;RELEVANT
36;4;SOMEWHAT_RELEVANT;IRRELEVANT
36;5;RELEVANT;IRRELEVANT
36;6;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
36;7;IRRELEVANT;IRRELEVANT
36;8;RELEVANT;RELEVANT
36;9;RELEVANT;RELEVANT
36;10;IRRELEVANT;IRRELEVANT
37;1;IRRELEVANT;RELEVANT
37;2;SOMEWHAT_RELEVANT;RELEVANT
37;3;RELEVANT;IRRELEVANT
37;4;RELEVANT;IRRELEVANT
37;5;IRRELEVANT;RELEVANT
37;6;IRRELEVANT;RELEVANT
37;7;RELEVANT;SOMEWHAT_RELEVANT
37;8;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
37;9;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
37;10;IRRELEVANT;SOMEWHAT_RELEVANT
38;1;IRRELEVANT;RELEVANT
38;2;RELEVANT;SOMEWHAT_RELEVANT
38;3;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
38;4;IRRELEVANT;IRRELEVANT
38;5;SOMEWHAT_RELEVANT;RELEVANT
38;6;IRRELEVANT;RELEVANT
38;7;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
38;8;SOMEWHAT_RELEVANT;RELEVANT
38;9;SOMEWHAT_RELEVANT;IRRELEVANT
38;10;SOMEWHAT_RELEVANT;RELEVANT
39;1;SOMEWHAT_RELEVANT;RELEVANT
39;2;IRRELEVANT;IRRELEVANT
39;3;SOMEWHAT_RELEVANT;RELEVANT
39;4;RELEVANT;IRRELEVANT
39;5;RELEVANT;SOMEWHAT_RELEVANT
39;6;SOMEWHAT_RELEVANT;RELEVANT
39;7;RELEVANT;IRRELEVANT
39;8;IRRELEVANT;IRRELEVANT
39;9;RELEVANT;RELEVANT
39;10;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
40;1;IRRELEVANT;SOMEWHAT_RELEVANT
40;2;RELEVANT;IRRELEVANT
40;3;IRRELEVANT;RELEVANT
40;4;IRRELEVANT;RELEVANT
40;5;IRRELEVANT;IRRELEVANT
40;6;IRRELEVANT;SOMEWHAT_RELEVANT
40;7;RELEVANT;RELEVANT
40;8;RELEVANT;IRRELEVANT
40;9;RELEVANT;RELEVANT
40;10;IRRELEVANT;RELEVANT
41;1;SOMEWHAT_RELEVANT;RELEVANT
41;2;IRRELEVANT;SOMEWHAT_RELEVANT
41;3;SOMEWHAT_RELEVANT;RELEVANT
41;4;IRRELEVANT;RELEVANT
41;5;RELEVANT;RELEVANT
41;6;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
41;7;IRRELEVANT;RELEVANT
41;8;IRRELEVANT;RELEVANT
41;9;RELEVANT;IRRELEVANT
41;10;RELEVANT;RELEVANT
42;1;IRRELEVANT;IRRELEVANT
42;2;RELEVANT;SOMEWHAT_RELEVANT
42;3;RELEVANT;IRRELEVANT
42;4;RELEVANT;RELEVANT
42;5;RELEVANT;RELEVANT
42;6;RELEVANT;RELEVANT
42;7;RELEVANT;RELEVANT
42;8;IRRELEVANT;RELEVANT
42;9;IRRELEVANT;RELEVANT
42;10;IRRELEVANT;RELEVANT
43;1;RELEVANT;RELEVANT
43;2;SOMEWHAT_RELEVANT;RELEVANT
43;3;RELEVANT;RELEVANT
43;4;RELEVANT;RELEVANT
43;5;RELEVANT;SOMEWHAT_RELEVANT
43;6;IRRELEVANT;SOMEWHAT_RELEVANT
43;7;SOMEWHAT_RELEVANT;RELEVANT
43;8;IRRELEVANT;RELEVANT
43;9;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
43;10;IRRELEVANT;RELEVANT
44;1;RELEVANT;SOMEWHAT_RELEVANT
44;2;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
44;3;SOMEWHAT_RELEVANT;RELEVANT
44;4;IRRELEVANT;IRRELEVANT
44;5;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
44;6;RELEVANT;IRRELEVANT
44;7;IRRELEVANT;RELEVANT
44;8;IRRELEVANT;SOMEWHAT_RELEVANT
44;9;SOMEWHAT_RELEVANT;RELEVANT
44;10;IRRELEVANT;RELEVANT
45;1;SOMEWHAT_RELEVANT;IRRELEVANT
45;2;SOMEWHAT_RELEVANT;RELEVANT
45;3;RELEVANT;RELEVANT
45;4;IRRELEVANT;SOMEWHAT_RELEVANT
45;5;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
45;6;RELEVANT;IRRELEVANT
45;7;SOMEWHAT_RELEVANT;IRRELEVANT
45;8;IRRELEVANT;RELEVANT
45;9;IRRELEVANT;IRRELEVANT
45;10;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
46;1;IRRELEVANT;RELEVANT
46;2;RELEVANT;IRRELEVANT
46;3;SOMEWHAT_RELEVANT;RELEVANT
46;4;RELEVANT;IRRELEVANT
46;5;SOMEWHAT_RELEVANT;RELEVANT
46;6;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
46;7;RELEVANT;RELEVANT
46;8;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
46;9;IRRELEVANT;IRRELEVANT
46;10;IRRELEVANT;RELEVANT
47;1;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
47;2;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
47;3;IRRELEVANT;IRRELEVANT
47;4;SOMEWHAT_RELEVANT;RELEVANT
47;5;SOMEWHAT_RELEVANT;RELEVANT
47;6;RELEVANT;SOMEWHAT_RELEVANT
47;7;RELEVANT;RELEVANT
47;8;SOMEWHAT_RELEVANT;RELEVANT
47;9;SOMEWHAT_RELEVANT;RELEVANT
47;10;RELEVANT;RELEVANT
48;1;RELEVANT;RELEVANT
48;2;IRRELEVANT;RELEVANT
48;3;IRRELEVANT;IRRELEVANT
48;4;IRRELEVANT;IRRELEVANT
48;5;SOMEWHAT_RELEVANT;RELEVANT
48;6;IRRELEVANT;RELEVANT
48;7;RELEVANT;RELEVANT
48;8;SOMEWHAT_RELEVANT;IRRELEVANT
48;9;SOMEWHAT_RELEVANT;RELEVANT
48;10;SOMEWHAT_RELEVANT;IRRELEVANT
49;1;RELEVANT;IRRELEVANT
49;2;RELEVANT;IRRELEVANT
49;3;SOMEWHAT_RELEVANT;RELEVANT
49;4;RELEVANT;SOMEWHAT_RELEVANT
49;5;IRRELEVANT;RELEVANT
49;6;SOMEWHAT_RELEVANT;RELEVANT
49;7;RELEVANT;IRRELEVANT
49;8;SOMEWHAT_RELEVANT;RELEVANT
49;9;RELEVANT;SOMEWHAT_RELEVANT
49;10;IRRELEVANT;SOMEWHAT_RELEVANT
50;1;IRRELEVANT;RELEVANT
50;2;IRRELEVANT;SOMEWHAT_RELEVANT
50;3;SOMEWHAT_RELEVANT;IRRELEVANT
50;4;RELEVANT;RELEVANT
50;5;RELEVANT;RELEVANT
50;6;RELEVANT;RELEVANT
50;7;RELEVANT;RELEVANT
50;8;RELEVANT;IRRELEVANT
50;9;IRRELEVANT;RELEVANT
50;10;SOMEWHAT_RELEVANT;RELEVANT
51;1;RELEVANT;IRRELEVANT
51;2;SOMEWHAT_RELEVANT;IRRELEVANT
51;3;IRRELEVANT;SOMEWHAT_RELEVANT
51;4;SOMEWHAT_RELEVANT;RELEVANT
51;5;SOMEWHAT_RELEVANT;RELEVANT
51;6;RELEVANT;RELEVANT
51;7;RELEVANT;IRRELEVANT
51;8;SOMEWHAT_RELEVANT;RELEVANT
51;9;IRRELEVANT;RELEVANT
51;10;RELEVANT;RELEVANT
52;1;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
52;2;RELEVANT;RELEVANT
52;3;IRRELEVANT;IRRELEVANT
52;4;SOMEWHAT_RELEVANT;IRRELEVANT
52;5;SOMEWHAT_RELEVANT;RELEVANT
52;6;SOMEWHAT_RELEVANT;RELEVANT
52;7;RELEVANT;SOMEWHAT_RELEVANT
52;8;RELEVANT;RELEVANT
52;9;IRRELEVANT;RELEVANT
52;10;RELEVANT;RELEVANT
53;1;RELEVANT;IRRELEVANT
53;2;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
53;3;RELEVANT;IRRELEVANT
53;4;IRRELEVANT;SOMEWHAT_RELEVANT
53;5;IRRELEVANT;RELEVANT
53;6;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
53;7;RELEVANT;SOMEWHAT_RELEVANT
53;8;SOMEWHAT_RELEVANT;IRRELEVANT
53;9;RELEVANT;SOMEWHAT_RELEVANT
53;10;SOMEWHAT_RELEVANT;RELEVANT
54;1;IRRELEVANT;RELEVANT
54;2;RELEVANT;RELEVANT
54;3;SOMEWHAT_RELEVANT;IRRELEVANT
54;4;RELEVANT;RELEVANT
54;5;IRRELEVANT;IRRELEVANT
54;6;RELEVANT;RELEVANT
54;7;IRRELEVANT;RELEVANT
54;8;SOMEWHAT_RELEVANT;RELEVANT
54;9;RELEVANT;RELEVANT
54;10;IRRELEVANT;IRRELEVANT
55;1;IRRELEVANT;SOMEWHAT_RELEVANT
55;2;RELEVANT;IRRELEVANT
55;3;IRRELEVANT;RELEVANT
55;4;RELEVANT;RELEVANT
55;5;IRRELEVANT;RELEVANT
55;6;RELEVANT;RELEVANT
55;7;IRRELEVANT;IRRELEVANT
55;8;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
55;9;RELEVANT;RELEVANT
55;10;SOMEWHAT_RELEVANT;RELEVANT
56;1;RELEVANT;RELEVANT
56;2;SOMEWHAT_RELEVANT;RELEVANT
56;3;RELEVANT;RELEVANT
56;4;SOMEWHAT_RELEVANT;RELEVANT
56;5;IRRELEVANT;RELEVANT
56;6;RELEVANT;RELEVANT
56;7;RELEVANT;IRRELEVANT
56;8;IRRELEVANT;RELEVANT
56;9;RELEVANT;RELEVANT
56;10;IRRELEVANT;SOMEWHAT_RELEVANT
57;1;RELEVANT;SOMEWHAT_RELEVANT
57;2;IRRELEVANT;RELEVANT
57;3;SOMEWHAT_RELEVANT;RELEVANT
57;4;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
57;5;RELEVANT;SOMEWHAT_RELEVANT
57;6;RELEVANT;RELEVANT
57;7;IRRELEVANT;RELEVANT
57;8;RELEVANT;RELEVANT
57;9;RELEVANT;RELEVANT
57;10;SOMEWHAT_RELEVANT;RELEVANT
58;1;IRRELEVANT;SOMEWHAT_RELEVANT
58;2;RELEVANT;RELEVANT
58;3;RELEVANT;RELEVANT
58;4;SOMEWHAT_RELEVANT;RELEVANT
58;5;RELEVANT;RELEVANT
58;6;RELEVANT;RELEVANT
58;7;IRRELEVANT;SOMEWHAT_RELEVANT
58;8;RELEVANT;SOMEWHAT_RELEVANT
58;9;RELEVANT;RELEVANT
58;10;RELEVANT;SOMEWHAT_RELEVANT
59;1;RELEVANT;RELEVANT
59;2;RELEVANT;IRRELEVANT
